candidate_language	linear_a_signs	linear_a_ipa	matched_word	score	top3_matches	ipa_length
hit	a-da-da-u-ti-nu	adadautinu	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒀀𒉿𒅈𒈾 (-26.28); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
hit	a-da-u-t	adaut	𒌷𒄩𒀜𒋾	-13.1999	𒌷𒄩𒀜𒋾 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20); 𒈪𒋫𒀭𒉌 (-13.20)	5
hit	a-da-u-ti	adauti	𒀀𒀝𒉌𒅖	-15.6764	𒀀𒀝𒉌𒅖 (-15.68); 𒈪𒋫𒀭𒉌 (-15.68); 𒌷𒆷𒊍𒉺 (-15.68)	6
hit	a-da-u-ti-n	adautin	𒌷𒀀𒉿𒅈𒈾	-18.1288	𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒄩𒀜𒋾 (-18.37)	7
hit	a-da-u-ti-nu	adautinu	𒌷𒉈𒂊𒊭𒀸	-20.7122	𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒆷𒊍𒉺 (-21.21)	8
hit	a-da-u-ti-nu-i	adautinui	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒉈𒂊𒊭𒀸 (-23.44); 𒌷𒀀𒉿𒅈𒈾 (-23.44)	9
hit	a-da-u-ti-nu-i-n	adautinuin	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒉈𒂊𒊭𒀸 (-26.28); 𒌷𒀀𒉿𒅈𒈾 (-26.28)	10
hit	a-da-wa	adawa	𒌷𒆷𒊍𒉺	-13.1999	𒌷𒆷𒊍𒉺 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20); 𒌷𒄩𒀜𒋾 (-13.20)	5
hit	a-da-wa-i	adawai	𒀀𒀝𒉌𒅖	-15.6764	𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒄩𒀜𒋾 (-15.68); 𒈪𒋫𒀭𒉌 (-15.68)	6
hit	a-da-wa-i-j	adawaij	𒌷𒉈𒂊𒊭𒀸	-18.1288	𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒆷𒊍𒉺 (-18.37)	7
hit	a-da-wa-i-ja	adawaija	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒀀𒀝𒉌𒅖 (-21.21)	8
hit	a-di-ki	adiki	𒌷𒆷𒊍𒉺	-13.1999	𒌷𒆷𒊍𒉺 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20); 𒌷𒄩𒀜𒋾 (-13.20)	5
hit	a-di-ki-t	adikit	𒀀𒀝𒉌𒅖	-15.6764	𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒄩𒀜𒋾 (-15.68); 𒈪𒋫𒀭𒉌 (-15.68)	6
hit	a-di-ki-te	adikite	𒌷𒀀𒉿𒅈𒈾	-18.1288	𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒄩𒀜𒋾 (-18.37)	7
hit	a-di-ki-te-s	adikites	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒈪𒋫𒀭𒉌 (-21.21)	8
hit	a-di-ki-te-si	adikitesi	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒉈𒂊𒊭𒀸 (-23.44); 𒌷𒀀𒉿𒅈𒈾 (-23.44)	9
hit	a-di-ki-te-si-r	adikitesir	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒉈𒂊𒊭𒀸 (-26.28); 𒌷𒀀𒉿𒅈𒈾 (-26.28)	10
hit	a-di-ki-te-t	adikitet	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒀀𒀝𒉌𒅖 (-21.21)	8
hit	a-di-ki-te-te	adikitete	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒉈𒂊𒊭𒀸 (-23.44); 𒌷𒀀𒉿𒅈𒈾 (-23.44)	9
hit	a-di-ki-te-te-r	adikiteter	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒉈𒂊𒊭𒀸 (-26.28); 𒌷𒀀𒉿𒅈𒈾 (-26.28)	10
hit	a-di-ki-tu	adikitu	𒌷𒉈𒂊𒊭𒀸	-18.1288	𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒀀𒀝𒉌𒅖 (-18.37)	7
hit	a-di-ki-tu-j	adikituj	𒌷𒉈𒂊𒊭𒀸	-20.7122	𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒆷𒊍𒉺 (-21.21)	8
hit	a-di-ki-tu-ja	adikituja	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒉈𒂊𒊭𒀸 (-23.44); 𒌷𒀀𒉿𒅈𒈾 (-23.44)	9
hit	a-di-ki-tu-ja-s	adikitujas	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒀀𒉿𒅈𒈾 (-26.28); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
hit	a-e-a-di	aeadi	𒌷𒆷𒊍𒉺	-13.1999	𒌷𒆷𒊍𒉺 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20); 𒌷𒄩𒀜𒋾 (-13.20)	5
hit	a-e-a-di-k	aeadik	𒀀𒀝𒉌𒅖	-15.6764	𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒄩𒀜𒋾 (-15.68); 𒈪𒋫𒀭𒉌 (-15.68)	6
hit	a-e-a-di-ki	aeadiki	𒌷𒀀𒉿𒅈𒈾	-18.1288	𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒄩𒀜𒋾 (-18.37)	7
hit	a-e-a-di-ki-t	aeadikit	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒀀𒀝𒉌𒅖 (-21.21)	8
hit	a-e-a-di-ki-te	aeadikite	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒉈𒂊𒊭𒀸 (-23.44); 𒌷𒀀𒉿𒅈𒈾 (-23.44)	9
hit	a-e-a-di-ki-te-t	aeadikitet	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒉈𒂊𒊭𒀸 (-26.28); 𒌷𒀀𒉿𒅈𒈾 (-26.28)	10
hit	a-i-da-a	aidaa	𒌷𒆷𒊍𒉺	-13.1999	𒌷𒆷𒊍𒉺 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20); 𒌷𒄩𒀜𒋾 (-13.20)	5
hit	a-i-da-a-u	aidaau	𒀀𒀝𒉌𒅖	-15.6764	𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒆷𒊍𒉺 (-15.68); 𒈪𒋫𒀭𒉌 (-15.68)	6
hit	a-i-da-j	aidaj	𒈪𒋫𒀭𒉌	-13.1999	𒈪𒋫𒀭𒉌 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20); 𒌷𒄩𒀜𒋾 (-13.20)	5
hit	a-i-da-ja	aidaja	𒌷𒆷𒊍𒉺	-15.6764	𒌷𒆷𒊍𒉺 (-15.68); 𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒄩𒀜𒋾 (-15.68)	6
hit	a-i-da-ja-s	aidajas	𒌷𒉈𒂊𒊭𒀸	-18.1288	𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒄩𒀜𒋾 (-18.37)	7
hit	a-i-na-j	ainaj	𒈪𒋫𒀭𒉌	-13.1999	𒈪𒋫𒀭𒉌 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20); 𒌷𒄩𒀜𒋾 (-13.20)	5
hit	a-i-na-ja	ainaja	𒌷𒆷𒊍𒉺	-15.6764	𒌷𒆷𒊍𒉺 (-15.68); 𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒄩𒀜𒋾 (-15.68)	6
hit	a-i-na-ja-r	ainajar	𒌷𒉈𒂊𒊭𒀸	-18.1288	𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒄩𒀜𒋾 (-18.37)	7
hit	a-i-na-ja-re	ainajare	𒌷𒉈𒂊𒊭𒀸	-20.7122	𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒈪𒋫𒀭𒉌 (-21.21)	8
hit	a-i-na-ja-re-t	ainajaret	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒀀𒉿𒅈𒈾 (-23.44); 𒌷𒉈𒂊𒊭𒀸 (-23.44)	9
hit	a-i-na-ja-re-ta	ainajareta	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒀀𒉿𒅈𒈾 (-26.28); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
hit	a-i-nwa	ainwa	𒌷𒆷𒊍𒉺	-13.1999	𒌷𒆷𒊍𒉺 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20); 𒌷𒄩𒀜𒋾 (-13.20)	5
hit	a-i-nwa-z	ainwaz	𒀀𒀝𒉌𒅖	-15.6764	𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒄩𒀜𒋾 (-15.68); 𒈪𒋫𒀭𒉌 (-15.68)	6
hit	a-i-nwa-za	ainwaza	𒌷𒀀𒉿𒅈𒈾	-18.1288	𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒄩𒀜𒋾 (-18.37)	7
hit	a-i-nwa-za-*56	ainwazaΦ	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒀀𒀝𒉌𒅖 (-21.21)	8
hit	a-i-nwa-za-*56-n	ainwazaΦn	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒉈𒂊𒊭𒀸 (-23.44); 𒌷𒀀𒉿𒅈𒈾 (-23.44)	9
hit	a-i-nwa-za-*56-ni	ainwazaΦni	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒉈𒂊𒊭𒀸 (-26.28); 𒌷𒀀𒉿𒅈𒈾 (-26.28)	10
hit	a-i-*301-ti	aiΘti	𒌷𒆷𒊍𒉺	-13.1999	𒌷𒆷𒊍𒉺 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20); 𒌷𒄩𒀜𒋾 (-13.20)	5
hit	a-i-*301-ti-j	aiΘtij	𒀀𒀝𒉌𒅖	-15.6764	𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒆷𒊍𒉺 (-15.68); 𒈪𒋫𒀭𒉌 (-15.68)	6
hit	a-i-*301-ti-ja	aiΘtija	𒌷𒉈𒂊𒊭𒀸	-18.1288	𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒀀𒀝𒉌𒅖 (-18.37)	7
hit	a-i-*301-ti-ja-s	aiΘtijas	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒈪𒋫𒀭𒉌 (-21.21)	8
hit	a-i-*301-ti-ja-sa	aiΘtijasa	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒉈𒂊𒊭𒀸 (-23.44); 𒌷𒀀𒉿𒅈𒈾 (-23.44)	9
hit	a-i-*301-ti-ja-sa-s	aiΘtijasas	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒀀𒉿𒅈𒈾 (-26.28); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
hit	a-i-*301-u-j	aiΘuj	ke	-12.9871	ke (-12.99); 𒌷𒆷𒊍𒉺 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20)	5
hit	a-i-*301-u-ja	aiΘuja	𒀀𒀝𒉌𒅖	-15.6764	𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒆷𒊍𒉺 (-15.68); 𒌷𒄩𒀜𒋾 (-15.68)	6
hit	a-i-*301-u-t	aiΘut	𒌷𒄩𒀜𒋾	-13.1999	𒌷𒄩𒀜𒋾 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20); 𒈪𒋫𒀭𒉌 (-13.20)	5
hit	a-i-*301-u-ti	aiΘuti	𒀀𒀝𒉌𒅖	-15.6764	𒀀𒀝𒉌𒅖 (-15.68); 𒈪𒋫𒀭𒉌 (-15.68); 𒌷𒆷𒊍𒉺 (-15.68)	6
hit	a-i-*301-u-ti-n	aiΘutin	𒌷𒀀𒉿𒅈𒈾	-18.1288	𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒄩𒀜𒋾 (-18.37)	7
hit	a-i-*301-u-ti-nu	aiΘutinu	𒌷𒉈𒂊𒊭𒀸	-20.7122	𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒆷𒊍𒉺 (-21.21)	8
hit	a-i-*301-u-ti-nu-j	aiΘutinuj	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒉈𒂊𒊭𒀸 (-23.44); 𒌷𒀀𒉿𒅈𒈾 (-23.44)	9
hit	a-i-*301-u-ti-nu-ja	aiΘutinuja	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒀀𒉿𒅈𒈾 (-26.28); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
hit	a-i-*301-wa	aiΘwa	𒌷𒆷𒊍𒉺	-13.1999	𒌷𒆷𒊍𒉺 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20); 𒌷𒄩𒀜𒋾 (-13.20)	5
hit	a-i-*301-wa-e	aiΘwae	𒀀𒀝𒉌𒅖	-15.6764	𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒄩𒀜𒋾 (-15.68); 𒈪𒋫𒀭𒉌 (-15.68)	6
hit	a-i-*301-wa-e-a	aiΘwaea	𒌷𒀀𒉿𒅈𒈾	-18.1288	𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒄩𒀜𒋾 (-18.37)	7
hit	a-i-*301-wa-e-a-d	aiΘwaead	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒀀𒀝𒉌𒅖 (-21.21)	8
hit	a-i-*301-wa-e-a-di	aiΘwaeadi	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒉈𒂊𒊭𒀸 (-23.44); 𒌷𒀀𒉿𒅈𒈾 (-23.44)	9
hit	a-i-*301-wa-e-a-di-k	aiΘwaeadik	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒉈𒂊𒊭𒀸 (-26.28); 𒌷𒀀𒉿𒅈𒈾 (-26.28)	10
hit	a-i-*301-wa-j	aiΘwaj	𒀀𒀝𒉌𒅖	-15.6764	𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒆷𒊍𒉺 (-15.68); 𒈪𒋫𒀭𒉌 (-15.68)	6
hit	a-i-*301-wa-ja	aiΘwaja	𒌷𒉈𒂊𒊭𒀸	-18.1288	𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒀀𒀝𒉌𒅖 (-18.37)	7
hit	a-i-*301-wa-ja-a	aiΘwajaa	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒈪𒋫𒀭𒉌 (-21.21)	8
hit	a-i-*301-wa-ja-a-d	aiΘwajaad	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒀀𒉿𒅈𒈾 (-23.44); 𒌷𒉈𒂊𒊭𒀸 (-23.44)	9
hit	a-i-*301-wa-ja-a-di	aiΘwajaadi	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒀀𒉿𒅈𒈾 (-26.28); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
hit	a-i-*301-wa-ja-a-j	aiΘwajaaj	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒀀𒉿𒅈𒈾 (-23.44); 𒌷𒉈𒂊𒊭𒀸 (-23.44)	9
hit	a-i-*301-wa-ja-a-ja	aiΘwajaaja	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒀀𒉿𒅈𒈾 (-26.28); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
hit	a-i-*301-wa-ja-j	aiΘwajaj	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒌷𒆷𒊍𒉺 (-21.21)	8
hit	a-i-*301-wa-ja-ja	aiΘwajaja	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒀀𒉿𒅈𒈾 (-23.44); 𒌷𒉈𒂊𒊭𒀸 (-23.44)	9
hit	a-i-*301-wa-ja-ja-a	aiΘwajajaa	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒉈𒂊𒊭𒀸 (-26.28); 𒌷𒀀𒉿𒅈𒈾 (-26.28)	10
hit	a-i-*301-wa-ja-ja-d	aiΘwajajad	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒉈𒂊𒊭𒀸 (-26.28); 𒌷𒀀𒉿𒅈𒈾 (-26.28)	10
hit	a-i-*301-wa-ja-ja-i	aiΘwajajai	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒉈𒂊𒊭𒀸 (-26.28); 𒌷𒀀𒉿𒅈𒈾 (-26.28)	10
hit	a-i-*301-wa-ja-ja-j	aiΘwajajaj	xuːxːaːʃ	-24.9459	xuːxːaːʃ (-24.95); taːʃːuːʃ (-24.98); xuːʃ (-25.21)	10
hit	a-i-*301-wa-ja-ja-s	aiΘwajajas	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); uːxːi (-25.70); 𒌷𒀀𒉿𒅈𒈾 (-26.28)	10
hit	a-i-*301-wa-ja-s	aiΘwajas	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒈪𒋫𒀭𒉌 (-21.21)	8
hit	a-i-*301-wa-ja-se	aiΘwajase	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒉈𒂊𒊭𒀸 (-23.44); 𒌷𒀀𒉿𒅈𒈾 (-23.44)	9
hit	a-i-*301-wa-ja-se-k	aiΘwajasek	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒀀𒉿𒅈𒈾 (-26.28); 𒌷𒉈𒂊𒊭𒀸 (-26.28)	10
hit	a-i-*301-wa-ja-t	aiΘwajat	𒌷𒀀𒉿𒅈𒈾	-20.7122	𒌷𒀀𒉿𒅈𒈾 (-20.71); 𒌷𒉈𒂊𒊭𒀸 (-20.71); 𒈪𒋫𒀭𒉌 (-21.21)	8
hit	a-i-*301-wa-ja-tu	aiΘwajatu	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-23.4063	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-23.41); 𒌷𒉈𒂊𒊭𒀸 (-23.44); 𒌷𒀀𒉿𒅈𒈾 (-23.44)	9
hit	a-i-*301-wa-ja-tu-r	aiΘwajatur	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖	-25.5942	𒋼𒊑𒀉𒋾𒌅𒌋𒉌𒅖 (-25.59); 𒌷𒉈𒂊𒊭𒀸 (-26.28); 𒌷𒀀𒉿𒅈𒈾 (-26.28)	10
hit	a-ja-a-d	ajaad	𒌷𒄩𒀜𒋾	-13.1999	𒌷𒄩𒀜𒋾 (-13.20); 𒀀𒀝𒉌𒅖 (-13.20); 𒌷𒆷𒊍𒉺 (-13.20)	5
hit	a-ja-a-di	ajaadi	𒌷𒄩𒀜𒋾	-15.6764	𒌷𒄩𒀜𒋾 (-15.68); 𒀀𒀝𒉌𒅖 (-15.68); 𒌷𒆷𒊍𒉺 (-15.68)	6
hit	a-ja-a-di-k	ajaadik	𒌷𒉈𒂊𒊭𒀸	-18.1288	𒌷𒉈𒂊𒊭𒀸 (-18.13); 𒌷𒀀𒉿𒅈𒈾 (-18.13); 𒀀𒀝𒉌𒅖 (-18.37)	7
